geom,seed,sigma_deg,dt,nav_type,T_FP,sustained,nis_mean,nees_mean,nis_inlier_frac,nees_inlier_frac,rmse_dist,final_pos_err,est_dist_bias,total_delta_v,peak_accel,are_fallback_count,wall_time_s,n_steps
crosstrack,1,0.001,10.0,jacobian,17650.0,True,739.7824271091129,1099964.9121979729,0.4908825674690007,0.2574762946754194,1175.7450189302606,9.773862112907592e-09,-0.15501387839777198,0.06416665255283772,2.528453878175276e-05,0,32.95113259999198,5486
crosstrack,3,0.001,10.0,jacobian,17500.0,True,5.095208118929711,3234.381181483091,0.8831145149525893,0.5020058351568198,225.33064117459475,3.8952479006662147e-08,0.018619566281877654,0.058574691643249056,1.8078504233777872e-05,1,38.032561899977736,5486
crosstrack,9,0.001,10.0,jacobian,17520.0,True,2.0199971633153315,6.431605289053261,0.9978118161925602,0.9908825674690007,23.771267905036662,4.888919139404507e-08,-0.0020565310062483615,0.05914328133824595,1.8493074479056166e-05,0,41.97937600000296,5486
crosstrack,1,0.001,10.0,ukf,17510.0,True,2.022111233310544,10.304411802046154,0.9981765134938001,0.9288840262582057,56.8849749622625,1.3715501904993974e-08,0.003227703513494018,0.059019720283233365,1.838334211331199e-05,1,51.51462560001528,5486
crosstrack,3,0.001,10.0,ukf,17510.0,True,2.008822200180976,6.513918067363908,0.9963530269876003,1.0,24.63974426270683,4.126142959020274e-08,0.0014509871345614652,0.05904536399625865,1.841807665058528e-05,0,18.330705000000307,5486
crosstrack,9,0.001,10.0,ukf,17510.0,True,2.0095707705565404,3.7594929516113056,0.9976294675419402,1.0,22.276139340284573,4.5491648547797537e-08,-0.000654040144951774,0.059104780432754814,1.8448876204553263e-05,0,16.612410400004592,5486
crosstrack,1,0.001,5.0,jacobian,17485.0,True,221.0855412501749,628107.6278999789,0.5284893791594494,0.3015771720302671,491.5173757712321,1.1312381082575672e-08,0.04803205940604674,0.057903619012778317,1.7289626826160865e-05,0,47.104003199987346,10971
crosstrack,3,0.001,5.0,jacobian,17520.0,True,3.704835596194297,3530.3507947073513,0.9469413802534415,0.4925699699152156,109.74569393979908,1.151850485361485e-08,-0.006280435130564455,0.059195310313027834,1.8684841731951514e-05,1,63.45795700000599,10971
crosstrack,9,0.001,5.0,jacobian,17525.0,True,4.053494374183269,5550.222373169218,0.9329929802169751,0.4911113137022518,62.6215122496018,1.026722728154004e-08,-0.007432266887320462,0.05922860326056076,1.8702594347591134e-05,1,58.83837660000427,10971
crosstrack,1,0.001,5.0,ukf,17515.0,True,2.02596062858279,11.397060724345515,0.996535691494211,0.744826328744644,71.98646229270574,1.1847810237381741e-08,0.003975643204792878,0.058926654520516465,1.8318052327156622e-05,0,76.63521029998083,10971
crosstrack,3,0.001,5.0,ukf,17515.0,True,2.03001978316583,9.359055307243462,0.9966268575075212,0.971647369860516,30.317513803498315,1.1519652670838968e-08,0.0013400201103329348,0.05898561966467208,1.8386496772938456e-05,0,76.00876669998979,10971
