geom,seed,sigma_deg,dt,nav_type,T_FP,sustained,nis_mean,nees_mean,nis_inlier_frac,nees_inlier_frac,rmse_dist,final_pos_err,est_dist_bias,total_delta_v,peak_accel,are_fallback_count,wall_time_s,n_steps
crosstrack,1,0.1,10.0,jacobian,17500.0,True,2.0245307445405873,24.21637721123989,0.9981765134938001,0.7321298322392414,125.28489224271209,1.4622343059256763e-06,0.01639683268759635,0.05872170020844145,1.8972072952373354e-05,0,30.432096200005617,5486
crosstrack,3,0.1,10.0,jacobian,17510.0,True,2.009150245748675,6.973396883560238,0.9963530269876003,1.0,45.20404511004297,3.905176457674805e-06,0.0018017875640832163,0.05901702199098103,1.850457705910336e-05,0,30.584657900006277,5486
crosstrack,9,0.1,10.0,jacobian,17510.0,True,2.0096923883516387,3.8083224159441227,0.9976294675419402,1.0,47.16245685039631,4.598256452206718e-06,0.003093968823056826,0.05901272436396028,1.9008819643354526e-05,0,33.33298890001606,5486
crosstrack,1,0.1,10.0,ukf,17500.0,True,2.0164968939951016,12.19299517348751,0.9983588621444202,0.7828227571115973,137.3156142747058,1.4667420982661264e-06,0.018645989315506675,0.058670466121324975,1.9000013768470008e-05,1,48.59527029999299,5486
crosstrack,3,0.1,10.0,ukf,17510.0,True,2.0090580712410353,6.920797130388214,0.9963530269876003,1.0,44.23151198001742,3.9020922472605e-06,0.0014665221258126579,0.059028304227357165,1.855554212456302e-05,1,38.361605600017356,5486
crosstrack,9,0.1,10.0,ukf,17510.0,True,2.0096961383235272,3.8432248584023094,0.9976294675419402,1.0,49.66467079225696,4.6037893150993936e-06,0.0035646437929317517,0.05900201575890629,1.9028871556137866e-05,0,38.41582049999852,5486
crosstrack,1,0.1,5.0,jacobian,17520.0,True,2.0281658593849583,49.12768821107029,0.9969003555474519,0.6057981584465312,127.83675931893936,1.1662969322326713e-06,0.007935021773484865,0.05870264770201338,1.8358292536054208e-05,0,58.31147889999556,10971
crosstrack,3,0.1,5.0,jacobian,17515.0,True,2.0306857665882316,10.215578911458262,0.996535691494211,0.9744735162731334,70.89283425874834,9.624467029102075e-07,0.005043978187320713,0.05884212196577976,1.8581889097172137e-05,0,58.27238819998456,10971
crosstrack,9,0.1,5.0,jacobian,17515.0,True,1.973788450141092,5.1397232319022175,0.9970826875740724,1.0,54.40918084322627,1.0060796789923425e-06,-0.0008255095742070531,0.059051174729753436,1.8977809323993807e-05,0,58.36079089998384,10971
crosstrack,1,0.1,5.0,ukf,17525.0,True,2.0151918269868356,10.269108290519148,0.9969003555474519,0.813383170753943,128.02770631505456,1.18023035943208e-06,0.006598922533759058,0.058765323619021204,1.836857612763055e-05,0,81.00849129998824,10971
crosstrack,3,0.1,5.0,ukf,17520.0,True,2.0301714717566117,9.54224317192917,0.996535691494211,0.97319719208679,66.27938181481002,9.617383407905e-07,0.002190334532832281,0.058904576196044056,1.8648319345753195e-05,0,75.43767939999816,10971
crosstrack,9,0.1,5.0,ukf,17520.0,True,1.9733381328543291,4.417368345352528,0.9971738535873826,1.0,61.60619535137517,1.0080367583278014e-06,-0.0048692936315094535,0.05914865567852286,1.9090949124441162e-05,0,75.44759950001026,10971
