time_orbits,dist_km,u_p_norm,u_e_norm,P_diff_frobenius
0.073292,1.02620236e+03,1.95620873e-03,9.66171169e-04,2.10691689e+07
0.074386,1.03063538e+03,1.95105650e-03,9.63620985e-04,1.99161026e+07
0.075480,1.03512429e+03,1.94508630e-03,9.60602161e-04,2.08233727e+07
0.076574,1.03966603e+03,1.93926069e-03,9.57097131e-04,2.02998981e+07
0.077668,1.04425748e+03,1.92921532e-03,9.53128478e-04,2.01558404e+07
0.078762,1.04889551e+03,1.92348263e-03,9.48730432e-04,2.07645760e+07
0.079855,1.05357622e+03,1.91474082e-03,9.43865149e-04,2.26117836e+07
0.080949,1.05829556e+03,1.90677010e-03,9.38549141e-04,2.29605168e+07
0.082043,1.06304966e+03,1.89314875e-03,9.32803565e-04,2.34145184e+07
0.083137,1.06783501e+03,1.88294497e-03,9.26682910e-04,2.10289581e+07
0.084231,1.07264816e+03,1.86858844e-03,9.20202251e-04,2.18782416e+07
0.085325,1.07748555e+03,1.85640014e-03,9.13365429e-04,2.15548628e+07
0.086419,1.08234331e+03,1.84115838e-03,9.06178816e-04,2.26186062e+07
0.087513,1.08721746e+03,1.82691226e-03,8.98656277e-04,1.98844013e+07
0.088607,1.09210470e+03,1.80681622e-03,8.90849408e-04,2.00237183e+07
0.089701,1.09700165e+03,1.79484047e-03,8.82779711e-04,2.08296555e+07
0.090795,1.10190371e+03,1.77818132e-03,8.74380625e-04,2.14733364e+07
0.091889,1.10680674e+03,1.76246923e-03,8.65703856e-04,2.17811771e+07
0.092982,1.11170658e+03,1.74262355e-03,8.56754249e-04,2.00551278e+07
0.094076,1.11659998e+03,1.72043572e-03,8.47600181e-04,1.66253460e+07
0.095170,1.12148409e+03,1.70390518e-03,8.38289833e-04,1.96112815e+07
0.096264,1.12635447e+03,1.68366384e-03,8.28712502e-04,1.68946914e+07
0.097358,1.13120770e+03,1.66339104e-03,8.18974547e-04,1.64361090e+07
0.098452,1.13604027e+03,1.64425010e-03,8.09059343e-04,1.69341980e+07
0.099546,1.14084828e+03,1.62291263e-03,7.98957861e-04,1.52777603e+07
0.100640,1.14562839e+03,1.60120065e-03,7.88719330e-04,1.63432719e+07
0.101734,1.15037691e+03,1.57943213e-03,7.78324740e-04,1.44435587e+07
0.102828,1.15509039e+03,1.56142653e-03,7.67818891e-04,1.44506195e+07
0.103922,1.15976513e+03,1.53560215e-03,7.57160142e-04,1.20083187e+07
0.105015,1.16439854e+03,1.51172292e-03,7.46443948e-04,1.02779176e+07
0.106109,1.16898781e+03,1.48740586e-03,7.35655505e-04,9.79763324e+06
0.107203,1.17352969e+03,1.46955604e-03,7.24791160e-04,1.05125422e+07
0.108297,1.17802023e+03,1.44705847e-03,7.13799805e-04,1.04850958e+07
0.109391,1.18245604e+03,1.42636418e-03,7.02732971e-04,1.09250244e+07
0.110485,1.18683366e+03,1.40106753e-03,6.91578794e-04,9.08551731e+06
0.111579,1.19115032e+03,1.38128720e-03,6.80405153e-04,1.10900607e+07
0.112673,1.19540230e+03,1.35737485e-03,6.69134882e-04,1.00634982e+07
0.113767,1.19958667e+03,1.33481210e-03,6.57841006e-04,9.09926896e+06
0.114861,1.20370025e+03,1.32243764e-03,6.46520481e-04,9.33395076e+06
0.115955,1.20773942e+03,1.28872198e-03,6.35094746e-04,8.98525670e+06
0.117048,1.21170245e+03,1.26381579e-03,6.23728523e-04,8.20190290e+06
0.118142,1.21558696e+03,1.23944013e-03,6.12371332e-04,6.58777380e+06
0.119236,1.21939067e+03,1.21611172e-03,6.01039168e-04,7.65303233e+06
0.120330,1.22311069e+03,1.19496312e-03,5.89692234e-04,7.29137662e+06
0.121424,1.22674420e+03,1.17084918e-03,5.78344376e-04,7.82117608e+06
0.122518,1.23028867e+03,1.14809572e-03,5.67008046e-04,7.18360589e+06
0.123612,1.23374170e+03,1.12439044e-03,5.55699080e-04,6.98549495e+06
0.124706,1.23710110e+03,1.10127353e-03,5.44426273e-04,7.47127608e+06
0.125800,1.24036434e+03,1.07992243e-03,5.33173785e-04,8.09040346e+06
0.126894,1.24352881e+03,1.05732545e-03,5.21937347e-04,8.25921371e+06
0.127988,1.24659207e+03,1.03719642e-03,5.10734869e-04,8.83050093e+06
0.129081,1.24955159e+03,1.01444309e-03,4.99551159e-04,8.47702791e+06
0.130175,1.25240537e+03,9.90464742e-04,4.88422764e-04,8.03956344e+06
0.131269,1.25515166e+03,9.68149521e-04,4.77366067e-04,8.30768451e+06
0.132363,1.25778843e+03,9.45559654e-04,4.66361372e-04,8.20688273e+06
0.133457,1.26031378e+03,9.22610564e-04,4.55420627e-04,8.19358988e+06
0.134551,1.26272595e+03,9.00200200e-04,4.44553158e-04,8.26726404e+06
0.135645,1.26502316e+03,8.78824900e-04,4.33756631e-04,8.24814216e+06
0.136739,1.26720365e+03,8.55717712e-04,4.23033117e-04,8.29144619e+06
0.137833,1.26926587e+03,8.34328963e-04,4.12397522e-04,8.65643218e+06
0.138927,1.27120799e+03,8.13996185e-04,4.01830967e-04,8.49332102e+06
0.140021,1.27302840e+03,7.91625789e-04,3.91347782e-04,8.48010586e+06
0.141114,1.27472568e+03,7.70446616e-04,3.80956683e-04,8.67450177e+06
0.142208,1.27629831e+03,7.48875497e-04,3.70653534e-04,8.96052303e+06
0.143302,1.27774493e+03,7.27720891e-04,3.60453201e-04,9.38420848e+06
0.144396,1.27906412e+03,7.07898980e-04,3.50347320e-04,9.48866851e+06
0.145490,1.28025443e+03,6.87536458e-04,3.40335612e-04,9.83591165e+06
0.146584,1.28131452e+03,6.67649179e-04,3.30423615e-04,9.58605430e+06
0.147678,1.28224304e+03,6.48613894e-04,3.20608991e-04,9.69009764e+06
0.148772,1.28303864e+03,6.29047533e-04,3.10891449e-04,1.00592633e+07
0.149866,1.28370021e+03,6.08732041e-04,3.01289785e-04,1.00889836e+07
0.150960,1.28422666e+03,5.90182707e-04,2.91800838e-04,1.00774370e+07
0.152054,1.28461685e+03,5.71400962e-04,2.82421415e-04,1.01879475e+07
0.153148,1.28486987e+03,5.51590578e-04,2.73164081e-04,1.04563758e+07
0.154241,1.28498481e+03,5.32859725e-04,2.64030374e-04,1.06859433e+07
0.155335,1.28496078e+03,5.13896315e-04,2.55020005e-04,1.09728372e+07
0.156429,1.28479694e+03,4.96623066e-04,2.46139364e-04,1.07494006e+07
0.157523,1.28449244e+03,4.79031953e-04,2.37378469e-04,1.07588808e+07
0.158617,1.28404646e+03,4.61928920e-04,2.28744197e-04,1.08688010e+07
0.159711,1.28345827e+03,4.43944334e-04,2.20239973e-04,1.12069708e+07
0.160805,1.28272724e+03,4.27466426e-04,2.11874484e-04,1.16518703e+07
0.161899,1.28185269e+03,4.11016842e-04,2.03642563e-04,1.15114490e+07
0.162993,1.28083402e+03,3.95066888e-04,1.95547508e-04,1.15922985e+07
0.164087,1.27967063e+03,3.79514245e-04,1.87590026e-04,1.10449841e+07
0.165181,1.27836202e+03,3.64023600e-04,1.79770709e-04,1.05572937e+07
0.166274,1.27690784e+03,3.48552159e-04,1.72099186e-04,1.03411881e+07
0.167368,1.27530779e+03,3.32993317e-04,1.64577217e-04,1.06189518e+07
0.168462,1.27356160e+03,3.17802318e-04,1.57213493e-04,1.08173214e+07
0.169556,1.27166910e+03,3.03099886e-04,1.50010362e-04,1.07397046e+07
0.170650,1.26963016e+03,2.88773360e-04,1.42970132e-04,1.02504812e+07
0.171744,1.26744474e+03,2.75071139e-04,1.36095871e-04,1.01382239e+07
0.172838,1.26511284e+03,2.61486977e-04,1.29392925e-04,1.03149392e+07
0.173932,1.26263449e+03,2.48289384e-04,1.22868993e-04,9.97504685e+06
0.175026,1.26000979e+03,2.35892895e-04,1.16528752e-04,1.00449406e+07
0.176120,1.25723891e+03,2.22853053e-04,1.10381799e-04,9.70057513e+06
