time_orbits,dist_km,u_p_norm,u_e_norm
0.094076,1.11690042e+03,1.72089390e-03,8.48595559e-04
0.095170,1.12179871e+03,1.70433778e-03,8.39306091e-04
0.096264,1.12668336e+03,1.68424556e-03,8.29751734e-04
0.097358,1.13155092e+03,1.66408058e-03,8.20034010e-04
0.098452,1.13639782e+03,1.64498774e-03,8.10137962e-04
0.099546,1.14122018e+03,1.62377493e-03,8.00055622e-04
0.100640,1.14601460e+03,1.60220226e-03,7.89834316e-04
0.101734,1.15077738e+03,1.58055383e-03,7.79456444e-04
0.102828,1.15550506e+03,1.56248178e-03,7.68965375e-04
0.103922,1.16019392e+03,1.53692936e-03,7.58321927e-04
0.105015,1.16484130e+03,1.51322511e-03,7.47617630e-04
0.106109,1.16944438e+03,1.48908589e-03,7.36838830e-04
0.107203,1.17399989e+03,1.47113040e-03,7.25982479e-04
0.108297,1.17850387e+03,1.44870539e-03,7.15000293e-04
0.109391,1.18295292e+03,1.42800091e-03,7.03942007e-04
0.110485,1.18734359e+03,1.40288682e-03,6.92796567e-04
0.111579,1.19167306e+03,1.38306037e-03,6.81629299e-04
0.112673,1.19593764e+03,1.35925356e-03,6.70366545e-04
0.113767,1.20013438e+03,1.33673868e-03,6.59078774e-04
0.114861,1.20426041e+03,1.31375984e-03,6.47763349e-04
0.115955,1.20831278e+03,1.29091351e-03,6.36417369e-04
0.117048,1.21228872e+03,1.26612117e-03,6.25054592e-04
0.118142,1.21618582e+03,1.24184070e-03,6.13699456e-04
0.119236,1.22000129e+03,1.21850857e-03,6.02330547e-04
0.120330,1.22373258e+03,1.19735389e-03,5.90984019e-04
0.121424,1.22737705e+03,1.17331122e-03,5.79636105e-04
0.122518,1.23093215e+03,1.15058992e-03,5.68299197e-04
0.123612,1.23439548e+03,1.12694146e-03,5.56988751e-04
0.124706,1.23776485e+03,1.10387719e-03,5.45713406e-04
0.125800,1.24103773e+03,1.08250718e-03,5.34458011e-04
0.126894,1.24421149e+03,1.05994270e-03,5.23218608e-04
0.127988,1.24728370e+03,1.03975255e-03,5.12012766e-04
0.129081,1.25025185e+03,1.01701317e-03,5.00826005e-04
0.130175,1.25311394e+03,9.93085952e-04,4.89693960e-04
0.131269,1.25586819e+03,9.70787121e-04,4.78632620e-04
0.132363,1.25851260e+03,9.48222095e-04,4.67622904e-04
0.133457,1.26104527e+03,9.25299558e-04,4.56676610e-04
0.134551,1.26346444e+03,9.02901616e-04,4.45802884e-04
0.135645,1.26576832e+03,8.81531431e-04,4.34999602e-04
0.136739,1.26795517e+03,8.58456200e-04,4.24268785e-04
0.137833,1.27002343e+03,8.37076407e-04,4.13625147e-04
0.138927,1.27197128e+03,8.16718079e-04,4.03050236e-04
0.140021,1.27379712e+03,7.94363368e-04,3.92558283e-04
0.141114,1.27549951e+03,7.73178274e-04,3.82157914e-04
0.142208,1.27707696e+03,7.51629132e-04,3.71845075e-04
0.143302,1.27852811e+03,7.30488089e-04,3.61634255e-04
0.144396,1.27985153e+03,7.10651762e-04,3.51517311e-04
0.145490,1.28104578e+03,6.90281315e-04,3.41494147e-04
0.146584,1.28210951e+03,6.70379859e-04,3.31570228e-04
0.147678,1.28304140e+03,6.51301234e-04,3.21743453e-04
0.148772,1.28384008e+03,6.31723602e-04,3.12013598e-04
0.149866,1.28450446e+03,6.11406246e-04,3.02399003e-04
0.150960,1.28503345e+03,5.92827091e-04,2.92896715e-04
0.152054,1.28542590e+03,5.74004232e-04,2.83503658e-04
0.153148,1.28568092e+03,5.54196416e-04,2.74232311e-04
0.154241,1.28579761e+03,5.35453867e-04,2.65084052e-04
0.155335,1.28577507e+03,5.16486345e-04,2.56058654e-04
0.156429,1.28561247e+03,4.99175714e-04,2.47162433e-04
0.157523,1.28530896e+03,4.81544726e-04,2.38385726e-04
0.158617,1.28486373e+03,4.64409290e-04,2.29735353e-04
0.159711,1.28427605e+03,4.46411185e-04,2.21214654e-04
0.160805,1.28354530e+03,4.29901556e-04,2.12832166e-04
0.161899,1.28267078e+03,4.13416642e-04,2.04582807e-04
0.162993,1.28165190e+03,3.97424084e-04,1.96469982e-04
0.164087,1.28048809e+03,3.81813543e-04,1.88494405e-04
0.165181,1.27917882e+03,3.66255763e-04,1.80656843e-04
0.166274,1.27772376e+03,3.50724355e-04,1.72966837e-04
0.167368,1.27612260e+03,3.35135277e-04,1.65426087e-04
0.168462,1.27437509e+03,3.19901678e-04,1.58042988e-04
0.169556,1.27248106e+03,3.05154872e-04,1.50819925e-04
0.170650,1.27044037e+03,2.90776336e-04,1.43759201e-04
0.171744,1.26825300e+03,2.77014558e-04,1.36863907e-04
0.172838,1.26591892e+03,2.63379498e-04,1.30139266e-04
0.173932,1.26343819e+03,2.50131197e-04,1.23592794e-04
0.175026,1.26081090e+03,2.37657576e-04,1.17229136e-04
0.176120,1.25803722e+03,2.24578699e-04,1.11057743e-04
0.177214,1.25511742e+03,2.13264875e-04,1.05090416e-04
0.178307,1.25205184e+03,2.01064127e-04,9.93345578e-05
0.179401,1.24884092e+03,1.90384846e-04,9.38109133e-05
0.180495,1.24548516e+03,1.79471811e-04,8.85291895e-05
0.181589,1.24198513e+03,1.69359299e-04,8.35147793e-05
0.182683,1.23834150e+03,1.59309004e-04,7.87918270e-05
0.183777,1.23455502e+03,1.50175780e-04,7.43867730e-05
0.184871,1.23062653e+03,1.42083743e-04,7.03307734e-05
0.185965,1.22655699e+03,1.34490480e-04,6.66591534e-05
0.187059,1.22234743e+03,1.28312317e-04,6.34102939e-05
0.188153,1.21799899e+03,1.22539031e-04,6.06226740e-05
0.189247,1.21351291e+03,1.17675899e-04,5.83386579e-05
0.190340,1.20889050e+03,1.14063724e-04,5.65938499e-05
0.191434,1.20413317e+03,1.11590861e-04,5.54127943e-05
0.192528,1.19924245e+03,1.10350864e-04,5.48071457e-05
