time_orbits,dist_km,u_p_norm,u_e_norm
0.188153,1.24051825e+03,1.29196823e-04,6.45984113e-05
0.190340,1.23158195e+03,1.17751421e-04,5.88757106e-05
0.192528,1.22208512e+03,1.10495474e-04,5.52477368e-05
0.194716,1.21203942e+03,1.07871862e-04,5.39359308e-05
0.196904,1.20145821e+03,1.09864026e-04,5.49320131e-05
0.199092,1.19035652e+03,1.15945157e-04,5.79725784e-05
0.201280,1.17875116e+03,1.25285526e-04,6.26427630e-05
0.203467,1.16666073e+03,1.37027671e-04,6.85138355e-05
0.205655,1.15410567e+03,1.50450576e-04,7.52252880e-05
0.207843,1.14110832e+03,1.65009135e-04,8.25045675e-05
0.210031,1.12769289e+03,1.80310759e-04,9.01553797e-05
0.212219,1.11388552e+03,1.96076973e-04,9.80384866e-05
0.214407,1.09971427e+03,2.12109746e-04,1.06054873e-04
0.216594,1.08520914e+03,2.28266836e-04,1.14133418e-04
0.218782,1.07040207e+03,2.44445022e-04,1.22222511e-04
0.220970,1.05532690e+03,2.60569042e-04,1.30284521e-04
0.223158,1.04001936e+03,2.76584393e-04,1.38292197e-04
0.225346,1.02451706e+03,2.92452642e-04,1.46226321e-04
0.227533,1.00885939e+03,3.08148348e-04,1.54074174e-04
0.229721,9.93087494e+02,3.23657040e-04,1.61828520e-04
0.231909,9.77244187e+02,3.38973833e-04,1.69486917e-04
0.234097,9.61373827e+02,3.54102473e-04,1.77051237e-04
0.236285,9.45522201e+02,3.69054594e-04,1.84527297e-04
0.238473,9.29736369e+02,3.83849078e-04,1.91924539e-04
0.240660,9.14064477e+02,3.98511380e-04,1.99255690e-04
0.242848,8.98555538e+02,4.13072720e-04,2.06536360e-04
0.245036,8.83259178e+02,4.27569018e-04,2.13784509e-04
0.247224,8.68225338e+02,4.42039463e-04,2.21019731e-04
0.249412,8.53503944e+02,4.56524613e-04,2.28262306e-04
0.251599,8.39144526e+02,4.71063933e-04,2.35531967e-04
0.253787,8.25195799e+02,4.85692712e-04,2.42846356e-04
0.255975,8.11705204e+02,5.00438353e-04,2.50219177e-04
0.258163,7.98718414e+02,5.15316113e-04,2.57658057e-04
0.260351,7.86278807e+02,5.30324434e-04,2.65162217e-04
0.262539,7.74426925e+02,5.45440128e-04,2.72720064e-04
0.264726,7.63199913e+02,5.60613760e-04,2.80306880e-04
0.266914,7.52630975e+02,5.75765643e-04,2.87882821e-04
0.269102,7.42748843e+02,5.90782911e-04,2.95391455e-04
0.271290,7.33577287e+02,6.05518100e-04,3.02759050e-04
0.273478,7.25134687e+02,6.19789609e-04,3.09894805e-04
0.275666,7.17433675e+02,6.33384290e-04,3.16692145e-04
0.277853,7.10480877e+02,6.46062216e-04,3.23031108e-04
0.280041,7.04276758e+02,6.57563531e-04,3.28781766e-04
0.282229,6.98815589e+02,6.67617029e-04,3.33808515e-04
0.284417,6.94085527e+02,6.75949996e-04,3.37974998e-04
0.286605,6.90068829e+02,6.82298703e-04,3.41149351e-04
0.288792,6.86742170e+02,6.86418867e-04,3.43209433e-04
0.290980,6.84077071e+02,6.88095449e-04,3.44047724e-04
0.293168,6.82040416e+02,6.87151180e-04,3.43575590e-04
0.295356,6.80595022e+02,6.83453368e-04,3.41726684e-04
0.297544,6.79700277e+02,6.76918677e-04,3.38459339e-04
0.299732,6.79312780e+02,6.67515760e-04,3.33757880e-04
0.301919,6.79386999e+02,6.55265762e-04,3.27632881e-04
0.304107,6.79875901e+02,6.40240893e-04,3.20120446e-04
0.306295,6.80731556e+02,6.22561346e-04,3.11280673e-04
0.308483,6.81905689e+02,6.02390943e-04,3.01195472e-04
0.310671,6.83350177e+02,5.79931887e-04,2.89965944e-04
0.312858,6.85017481e+02,5.55419040e-04,2.77709520e-04
0.315046,6.86861020e+02,5.29114095e-04,2.64557047e-04
0.317234,6.88835467e+02,5.01299989e-04,2.50649994e-04
0.319422,6.90896993e+02,4.72275832e-04,2.36137916e-04
0.321610,6.93003439e+02,4.42352609e-04,2.21176304e-04
