time_orbits,dist_km,u_p_norm,u_e_norm
0.000000,0.00000000e+00,0.00000000e+00,0.00000000e+00
0.001094,8.66459343e+02,1.18809731e-03,5.81091952e-04
0.002188,8.67056421e+02,1.17629428e-03,5.74207569e-04
0.003282,8.67798392e+02,1.16429515e-03,5.67390448e-04
0.004376,8.68668258e+02,1.15298475e-03,5.60934244e-04
0.005470,8.69650363e+02,1.14229209e-03,5.54954434e-04
0.006563,8.70730362e+02,1.13290201e-03,5.49416732e-04
0.007657,8.71895173e+02,1.12370084e-03,5.44618707e-04
0.008751,8.73132975e+02,1.11697632e-03,5.40327650e-04
0.009845,8.74433006e+02,1.11043192e-03,5.36775903e-04
0.010939,8.75785730e+02,1.10614255e-03,5.34148871e-04
0.012033,8.77182592e+02,1.10383782e-03,5.32228750e-04
0.013127,8.78615932e+02,1.10291546e-03,5.31242472e-04
0.014221,8.80079102e+02,1.10430656e-03,5.31200820e-04
0.015315,8.81566275e+02,1.10714123e-03,5.32255414e-04
0.016409,8.83072419e+02,1.11291609e-03,5.34318194e-04
0.017503,8.84593197e+02,1.12017383e-03,5.37420915e-04
0.018596,8.86125058e+02,1.12884849e-03,5.41663992e-04
0.019690,8.87665218e+02,1.13945310e-03,5.46890983e-04
0.020784,8.89211537e+02,1.15249929e-03,5.53272917e-04
0.021878,8.90762374e+02,1.16723795e-03,5.60599598e-04
0.022972,8.92316643e+02,1.18391293e-03,5.68865924e-04
0.024066,8.93873752e+02,1.20213038e-03,5.77979174e-04
0.025160,8.95433604e+02,1.22157800e-03,5.87914830e-04
0.026254,8.96996566e+02,1.24250812e-03,5.98500364e-04
0.027348,8.98563407e+02,1.26464281e-03,6.09643907e-04
0.028442,9.00135302e+02,1.28719965e-03,6.21298547e-04
0.029536,9.01713847e+02,1.31055776e-03,6.33312904e-04
0.030630,9.03300956e+02,1.33443310e-03,6.45630911e-04
0.031723,9.04898854e+02,1.35911122e-03,6.58354578e-04
0.032817,9.06509974e+02,1.38444308e-03,6.71134417e-04
0.033911,9.08136957e+02,1.40983750e-03,6.84112635e-04
0.035005,9.09782647e+02,1.43523432e-03,6.97076252e-04
0.036099,9.11450043e+02,1.46083587e-03,7.09936672e-04
0.037193,9.13142273e+02,1.48580791e-03,7.22695422e-04
0.038287,9.14862578e+02,1.51093507e-03,7.35339156e-04
0.039381,9.16614262e+02,1.53555625e-03,7.47866172e-04
0.040475,9.18400694e+02,1.55998880e-03,7.60142192e-04
0.041569,9.20225189e+02,1.58375723e-03,7.72211908e-04
