time_orbits,dist_km,u_p_norm,u_e_norm
0.094076,1.09571012e+03,1.69198560e-03,8.34480956e-04
0.095170,1.10030976e+03,1.67578370e-03,8.25353302e-04
0.096264,1.10489683e+03,1.65579186e-03,8.15849724e-04
0.097358,1.10946785e+03,1.63578914e-03,8.06207287e-04
0.098452,1.11401921e+03,1.61690452e-03,7.96407913e-04
0.099546,1.11854697e+03,1.59579075e-03,7.86372920e-04
0.100640,1.12304773e+03,1.57430882e-03,7.76191132e-04
0.101734,1.12751771e+03,1.55273876e-03,7.65849138e-04
0.102828,1.13195344e+03,1.53493536e-03,7.55483868e-04
0.103922,1.13635116e+03,1.50927791e-03,7.44787514e-04
0.105015,1.14070822e+03,1.48560183e-03,7.34086319e-04
0.106109,1.14502174e+03,1.46148860e-03,7.23305843e-04
0.107203,1.14928842e+03,1.44381434e-03,7.12576791e-04
0.108297,1.15350429e+03,1.42143169e-03,7.01612127e-04
0.109391,1.15766592e+03,1.40083601e-03,6.90606422e-04
0.110485,1.16176985e+03,1.37561945e-03,6.79408635e-04
0.111579,1.16581329e+03,1.35593659e-03,6.68308902e-04
0.112673,1.16979253e+03,1.33206844e-03,6.57018513e-04
0.113767,1.17370463e+03,1.30956419e-03,6.45736211e-04
0.114861,1.17754675e+03,1.28658329e-03,6.34417957e-04
0.115955,1.18131595e+03,1.26373783e-03,6.23072179e-04
0.117048,1.18500950e+03,1.23888825e-03,6.11677383e-04
0.118142,1.18862500e+03,1.21458325e-03,6.00302515e-04
0.119236,1.19216022e+03,1.19134485e-03,5.88967762e-04
0.120330,1.19561227e+03,1.17023972e-03,5.77643185e-04
0.121424,1.19897837e+03,1.14616228e-03,5.66273037e-04
0.122518,1.20225602e+03,1.12343673e-03,5.54932557e-04
0.123612,1.20544290e+03,1.09977178e-03,5.43608838e-04
0.124706,1.20853683e+03,1.07670529e-03,5.32325556e-04
0.125800,1.21153537e+03,1.05537664e-03,5.21094072e-04
0.126894,1.21443595e+03,1.03279478e-03,5.09847747e-04
0.127988,1.21723622e+03,1.01266397e-03,4.98684679e-04
0.129081,1.21993375e+03,9.89910060e-04,4.87498526e-04
0.130175,1.22252662e+03,9.65965166e-04,4.76356503e-04
0.131269,1.22501317e+03,9.43708060e-04,4.65314452e-04
0.132363,1.22739145e+03,9.21177330e-04,4.54319973e-04
0.133457,1.22965966e+03,8.98300072e-04,4.43391791e-04
0.134551,1.23181614e+03,8.75973728e-04,4.32549177e-04
0.135645,1.23385917e+03,8.54686547e-04,4.21785686e-04
0.136739,1.23578712e+03,8.31685144e-04,4.11081639e-04
0.137833,1.23759853e+03,8.10412043e-04,4.00485896e-04
0.138927,1.23929167e+03,7.90174779e-04,3.89975859e-04
0.140021,1.24086504e+03,7.67932108e-04,3.79530806e-04
0.141114,1.24231734e+03,7.46888970e-04,3.69196780e-04
0.142208,1.24364715e+03,7.25468973e-04,3.58939897e-04
0.143302,1.24485323e+03,7.04483215e-04,3.48797110e-04
0.144396,1.24593426e+03,6.84821096e-04,3.38767270e-04
0.145490,1.24688891e+03,6.64631553e-04,3.28830693e-04
0.146584,1.24771598e+03,6.44923751e-04,3.19002441e-04
0.147678,1.24841422e+03,6.26065213e-04,3.09291987e-04
0.148772,1.24898244e+03,6.06690971e-04,2.99666589e-04
0.149866,1.24941963e+03,5.86607113e-04,2.90159089e-04
0.150960,1.24972484e+03,5.68283166e-04,2.80788947e-04
0.152054,1.24989704e+03,5.49743565e-04,2.71537966e-04
0.153148,1.24993546e+03,5.30221971e-04,2.62395288e-04
0.154241,1.24983932e+03,5.11784526e-04,2.53392759e-04
0.155335,1.24960782e+03,4.93138295e-04,2.44515282e-04
0.156429,1.24924026e+03,4.76178062e-04,2.35795635e-04
0.157523,1.24873588e+03,4.58917202e-04,2.27200472e-04
0.158617,1.24809402e+03,4.42150386e-04,2.18737428e-04
0.159711,1.24731405e+03,4.24543297e-04,2.10399347e-04
0.160805,1.24639545e+03,4.08437210e-04,2.02222593e-04
0.161899,1.24533766e+03,3.92377414e-04,1.94186947e-04
0.162993,1.24414020e+03,3.76826650e-04,1.86301572e-04
0.164087,1.24280259e+03,3.61686300e-04,1.78569386e-04
0.165181,1.24132445e+03,3.46634099e-04,1.70987659e-04
0.166274,1.23970554e+03,3.31636916e-04,1.63561490e-04
