time_orbits,dist_km,u_p_norm,u_e_norm
0.000000,0.00000000e+00,0.00000000e+00,0.00000000e+00
0.000547,8.66221853e+02,1.17359163e-03,5.86953664e-04
0.001094,8.66461385e+02,1.26033402e-03,6.30442568e-04
0.001641,8.66739769e+02,1.25660447e-03,6.28478463e-04
0.002188,8.67054582e+02,1.25245938e-03,6.26169183e-04
0.002735,8.67403518e+02,1.24770786e-03,6.23737165e-04
0.003282,8.67784377e+02,1.24311417e-03,6.21373227e-04
0.003829,8.68195045e+02,1.23859747e-03,6.19049110e-04
0.004376,8.68633496e+02,1.23427930e-03,6.16876903e-04
0.004923,8.69097786e+02,1.23007816e-03,6.14818810e-04
0.005470,8.69586057e+02,1.22602585e-03,6.12876800e-04
0.006017,8.70096531e+02,1.22234091e-03,6.11078567e-04
0.006563,8.70627501e+02,1.21917430e-03,6.09373147e-04
0.007110,8.71177346e+02,1.21565585e-03,6.07912512e-04
0.007657,8.71744538e+02,1.21243416e-03,6.06635510e-04
0.008204,8.72327609e+02,1.21013836e-03,6.05425934e-04
0.008751,8.72925143e+02,1.20834005e-03,6.04436386e-04
0.009298,8.73535803e+02,1.20636830e-03,6.03560896e-04
0.009845,8.74158353e+02,1.20413369e-03,6.02906205e-04
0.010392,8.74791613e+02,1.20321670e-03,6.02478464e-04
0.010939,8.75434460e+02,1.20211272e-03,6.02211452e-04
0.011486,8.76085843e+02,1.20172369e-03,6.02037334e-04
0.012033,8.76744758e+02,1.20184316e-03,6.02074979e-04
0.012580,8.77410256e+02,1.20245668e-03,6.02239235e-04
0.013127,8.78081472e+02,1.20247081e-03,6.02623431e-04
0.013674,8.78757606e+02,1.20343679e-03,6.03161157e-04
0.014221,8.79437897e+02,1.20508129e-03,6.03875574e-04
0.014768,8.80121640e+02,1.20655958e-03,6.04792424e-04
0.015315,8.80808199e+02,1.20854258e-03,6.05901367e-04
0.015862,8.81496971e+02,1.21136520e-03,6.07188339e-04
0.016409,8.82187392e+02,1.21457074e-03,6.08605604e-04
0.016956,8.82878965e+02,1.21761159e-03,6.10207429e-04
0.017503,8.83571241e+02,1.22140919e-03,6.11971217e-04
0.018050,8.84263821e+02,1.22508824e-03,6.13965289e-04
0.018596,8.84956367e+02,1.22900411e-03,6.16101903e-04
0.019143,8.85648583e+02,1.23356591e-03,6.18429308e-04
0.019690,8.86340221e+02,1.23803219e-03,6.20879800e-04
0.020237,8.87031072e+02,1.24333571e-03,6.23630634e-04
0.020784,8.87720948e+02,1.24907980e-03,6.26455518e-04
0.021331,8.88409701e+02,1.25523653e-03,6.29419897e-04
0.021878,8.89097226e+02,1.26126337e-03,6.32615082e-04
0.022425,8.89783453e+02,1.26790602e-03,6.36041699e-04
0.022972,8.90468340e+02,1.27496931e-03,6.39400648e-04
0.023519,8.91151883e+02,1.28235575e-03,6.42996659e-04
0.024066,8.91834109e+02,1.28976404e-03,6.46726683e-04
0.024613,8.92515079e+02,1.29766534e-03,6.50530070e-04
0.025160,8.93194887e+02,1.30537090e-03,6.54613886e-04
0.025707,8.93873656e+02,1.31371420e-03,6.58663023e-04
