time_orbits,dist_km,u_p_norm,u_e_norm
0.094076,1.11230860e+03,1.70628962e-03,8.39737334e-04
0.095170,1.11713458e+03,1.68938924e-03,8.30407594e-04
0.096264,1.12194865e+03,1.66882236e-03,8.20735463e-04
0.097358,1.12674737e+03,1.64824436e-03,8.10921245e-04
0.098452,1.13152723e+03,1.62878732e-03,8.00960173e-04
0.099546,1.13628436e+03,1.60717497e-03,7.90779873e-04
0.100640,1.14101539e+03,1.58519609e-03,7.80455848e-04
0.101734,1.14571662e+03,1.56317990e-03,7.69987563e-04
0.102828,1.15038462e+03,1.54487876e-03,7.59497276e-04
0.103922,1.15501567e+03,1.51888061e-03,7.48696291e-04
0.105015,1.15960712e+03,1.49480928e-03,7.37881077e-04
0.106109,1.16415615e+03,1.47031917e-03,7.26990871e-04
0.107203,1.16865948e+03,1.45220289e-03,7.16162484e-04
0.108297,1.17311315e+03,1.42949677e-03,7.05126117e-04
0.109391,1.17751376e+03,1.40859673e-03,6.94056877e-04
0.110485,1.18185785e+03,1.38317390e-03,6.82810496e-04
0.111579,1.18614260e+03,1.36318609e-03,6.71654858e-04
0.112673,1.19036430e+03,1.33914719e-03,6.60334334e-04
0.113767,1.19452000e+03,1.31644545e-03,6.49018926e-04
0.114861,1.19860682e+03,1.29328248e-03,6.37670641e-04
0.115955,1.20262202e+03,1.26378781e-03,6.26351849e-04
0.117048,1.20656305e+03,1.23922608e-03,6.15032979e-04
0.118142,1.21042737e+03,1.21518429e-03,6.03727750e-04
0.119236,1.21421262e+03,1.19216269e-03,5.92454579e-04
0.120330,1.21791579e+03,1.17126568e-03,5.81203603e-04
0.121424,1.22153399e+03,1.14747039e-03,5.69911679e-04
0.122518,1.22506461e+03,1.12499911e-03,5.58650040e-04
0.123612,1.22850518e+03,1.10159823e-03,5.47401336e-04
0.124706,1.23185342e+03,1.07876761e-03,5.36189446e-04
0.125800,1.23510675e+03,1.05765888e-03,5.25033828e-04
0.126894,1.23826250e+03,1.03533079e-03,5.13869578e-04
0.127988,1.24131819e+03,1.01541161e-03,5.02786892e-04
0.129081,1.24427127e+03,9.92935288e-04,4.91686358e-04
0.130175,1.24711968e+03,9.69270282e-04,4.80621462e-04
0.131269,1.24986161e+03,9.47229720e-04,4.69645537e-04
0.132363,1.25249501e+03,9.24924072e-04,4.58717782e-04
0.133457,1.25501795e+03,9.02274640e-04,4.47852590e-04
0.134551,1.25742863e+03,8.80155793e-04,4.37067732e-04
0.135645,1.25972523e+03,8.59046696e-04,4.26359316e-04
0.136739,1.26190598e+03,8.36259223e-04,4.15708426e-04
0.137833,1.26396932e+03,8.15149405e-04,4.05158880e-04
0.138927,1.26591338e+03,7.95074310e-04,3.94697798e-04
0.140021,1.26773655e+03,7.73023047e-04,3.84297261e-04
0.141114,1.26943739e+03,7.52139228e-04,3.74001400e-04
0.142208,1.27101438e+03,7.30875293e-04,3.63780315e-04
0.143302,1.27246615e+03,7.10026487e-04,3.53666274e-04
0.144396,1.27379127e+03,6.90483370e-04,3.43663123e-04
0.145490,1.27498829e+03,6.70422028e-04,3.33750588e-04
0.146584,1.27605588e+03,6.50830865e-04,3.23942318e-04
0.147678,1.27699269e+03,6.32081114e-04,3.14248032e-04
0.148772,1.27779739e+03,6.12813075e-04,3.04636219e-04
0.149866,1.27846887e+03,5.92829024e-04,2.95133460e-04
0.150960,1.27900605e+03,5.74572975e-04,2.85761419e-04
0.152054,1.27940780e+03,5.56105280e-04,2.76503872e-04
0.153148,1.27967321e+03,5.36638454e-04,2.67345355e-04
0.154241,1.27980141e+03,5.18231304e-04,2.58319847e-04
0.155335,1.27979149e+03,4.99606209e-04,2.49413221e-04
0.156429,1.27964266e+03,4.82641585e-04,2.40656001e-04
0.157523,1.27935406e+03,4.65378796e-04,2.32018909e-04
0.158617,1.27892491e+03,4.48591769e-04,2.23507191e-04
