seed,geometry,sigma_theta_deg,T_FP,v_FP,radial_closure_rate_FP,T_soft,v_at_soft,T_sustain,sustained,max_dist_after_FP,min_dist_after_FP,exit_count,time_in_sphere_frac,total_delta_v,peak_accel,control_energy,rmse_pos_x,rmse_pos_y,rmse_pos_z,rmse_dist,final_pos_err,final_vel_err,est_dist_bias,est_radial_vel_bias,nis_mean,nees_mean,are_fallback_count,controller_mean_step_ms
0,radial,0.008,20500.0,5.254413979762113e-05,4.300911769795182e-05,20500.0,5.254413979762113e-05,20500.0,True,0.0996479292757066,4.440985137692936e-07,0,1.0,0.10905355477404881,0.00012059837445628843,6.864076327399581e-06,31.217287916320036,2.793353004501192,1.7410629610925628,31.390335870975722,1.9182580119325018e-07,2.3011429649526505e-10,0.001919607782775984,6.684196111181615e-06,2.0220772881666655,5.109013325466521,0,3.902057749785819
0,radial,0.001,20490.0,5.3104880052114867e-05,4.36163244778536e-05,20490.0,5.3104880052114867e-05,20490.0,True,0.09965815053532906,4.56327742960825e-07,0,1.0,0.1094109210949657,0.00012040086453442778,6.842373629230799e-06,21.29862138396902,0.3324263404254806,0.455761032712496,21.306090637383726,2.348972662589836e-08,2.808717201466979e-11,0.00031482672686418926,2.2249879944723875e-06,2.021918928659713,5.0642620629808635,0,3.9378721371056074
2,radial,0.008,20500.0,5.2475305655991865e-05,4.294971139182392e-05,20500.0,5.2475305655991865e-05,20500.0,True,0.09981730126730694,4.062447929752946e-07,0,1.0,0.10898569061069478,0.00012817127456790102,6.867779659289917e-06,62.81273968975852,1.7456133127681226,1.9273656450404948,62.86654254451059,6.785991938844321e-09,1.2283903280942225e-11,0.003722118268634658,1.498281415205254e-07,2.019815431434298,6.567207345806885,0,4.087264077184042
1,radial,0.008,20510.0,5.282856144886046e-05,4.323437441062103e-05,20510.0,5.282856144886046e-05,20510.0,True,0.0998219030907129,4.4292218966856294e-07,0,1.0,0.10910148167804151,0.00012713339775979017,6.863781074258539e-06,43.871699839243824,2.0139333565458872,1.9267532988636231,43.96014504780433,5.988195295213023e-08,6.886216411138451e-11,0.003488876089637064,1.0724589137919028e-06,2.0140123050947953,7.593546739830676,0,3.9669209882613345
2,radial,0.001,20490.0,5.284637291281547e-05,4.330076191282598e-05,20490.0,5.284637291281547e-05,20490.0,True,0.09998878317072706,4.3904427616114473e-07,0,1.0,0.10917971066898884,0.00012817127456790102,6.854169437914967e-06,48.54816481681898,0.2679249459776935,0.6999325402438067,48.55394933904542,2.0849416554577957e-09,3.207789803955772e-12,0.002189390704704456,7.129156018626869e-07,2.0204270565268296,6.639549575759195,0,3.9422356491019994
3,radial,0.001,20500.0,5.354544036017497e-05,4.4094803235606556e-05,20500.0,5.354544036017497e-05,20500.0,True,0.09961858810106344,4.4928520081411955e-07,0,1.0,0.10982023690757853,0.00012150630765733103,6.834933662444869e-06,14.067055703170237,0.49863463549869114,0.6160491072732281,14.089365108420797,7.228967942439856e-09,9.636475588477054e-12,-0.00033210526153268176,-2.6367885315175616e-06,2.0106776268983872,5.58772936746149,0,4.023157768111337
1,radial,0.1,20720.0,5.344736204152865e-05,4.297324825299236e-05,20720.0,5.344736204152865e-05,20720.0,True,0.09983194998822717,3.88557312705418e-07,0,1.0,0.10883373582315183,0.00012713339775979017,6.988033666592824e-06,87.12036923481624,26.167043191305268,11.964967222402722,91.74875108479418,4.064265561422955e-07,3.2097602217552566e-10,0.01621488723202043,1.6534896564560614e-05,2.01402591752536,6.79884171771254,0,4.035016703259327
0,radial,0.1,20600.0,5.1864525816111453e-05,4.211330010346005e-05,20600.0,5.1864525816111453e-05,20600.0,True,0.09961097332432642,3.7652983022507546e-07,0,1.0,0.10905971432039605,0.00011891305464508927,6.9364127319335225e-06,62.63799428972247,21.432712118689075,7.6610193237361655,66.64511005678185,2.1810739666879135e-06,2.635271417217419e-09,0.005272176193681323,1.9057105429445556e-05,2.022094140324943,5.0519464714297495,0,4.043125729526814
1,radial,0.001,20500.0,5.3041364922773e-05,4.354244230291747e-05,20500.0,5.3041364922773e-05,20500.0,True,0.09967476639323705,4.440112195594461e-07,0,1.0,0.10937268721258105,0.00012713339775979017,6.84868664847372e-06,34.69402305158151,0.26949966521609175,0.5842127188740076,34.6999880414117,8.028578148623278e-09,9.154176796115742e-12,0.0013892300424560796,-1.8879069590698135e-07,2.013501726484683,7.536171058434958,0,4.023774653565078
2,radial,0.1,20520.0,5.134840471012324e-05,4.193883257771114e-05,20520.0,5.134840471012324e-05,20520.0,True,0.09975950969418579,8.934448121303635e-08,0,1.0,0.10874309120644865,0.00012817127456790102,6.922122873309251e-06,87.842636151768,11.950073554045835,6.25313005282025,88.87201257705651,3.946617689881591e-07,6.821311324674915e-10,0.006883267112151004,-3.964846738213625e-08,2.0192759642337177,6.496639831929025,0,4.04074317986038
