eccentricity,group,seed,captured,capture_time,final_distance,ekf_err_pos_rmse,ekf_err_vel_rmse,total_dV
0.001,NERM+SDRE,42,True,29750.0,0.09659165754913963,27.02479678785289,0.011258836381738042,3.837542784338596
0.001,CW+SDRE,42,False,182830.27384790557,4.8759279413950104e+16,3776269933458299.0,847177274956.0168,43590648973526.92
0.001,NERM+SDRE,43,True,29620.0,0.09401986736206888,25.628600900744917,0.01092659814413776,3.799030331591782
0.001,CW+SDRE,43,False,182830.27384790557,3.657931734818142e+16,2833008271715095.0,635557157862.1136,32731428645459.363
0.001,NERM+SDRE,44,True,29930.0,0.09098082970523416,25.24664043904589,0.0104462424037198,3.8405525892521877
0.001,CW+SDRE,44,False,182830.27384790557,6.969067381881915e+16,5397294247099564.0,1210850319036.512,62265579173004.9
0.1,NERM+SDRE,42,True,29710.0,0.09384268257111751,18.307052731223596,0.008756117944077501,4.1942107105681
0.1,CW+SDRE,42,False,182830.27384790557,3.860093105940043e+18,2.989477073248112e+17,67067622261725.37,3446831547453809.0
0.1,NERM+SDRE,43,True,29620.0,0.09668109522863394,17.446336890900895,0.008691883190500096,4.16682648705061
0.1,CW+SDRE,43,False,182830.27384790557,3.3559201162367647e+18,2.599016646650649e+17,58307812401831.766,2996635381312939.5
0.1,NERM+SDRE,44,True,29980.0,0.09928256433045353,16.80228249463423,0.008242066198762305,4.207115329551008
0.1,CW+SDRE,44,False,182830.27384790557,3.936192281305327e+18,3.048412631775413e+17,68389815814220.88,3514783529552640.5
0.3,NERM+SDRE,42,True,34920.0,0.09541665732782968,11.818630634468352,0.010129023324537502,6.2808604374610395
0.3,CW+SDRE,42,False,182830.27384790557,8.441193516049233e+18,6.537550730844136e+17,146755404933106.9,7555447916348278.0
0.3,NERM+SDRE,43,True,34900.0,0.09919364455545347,11.794288350398487,0.010031162219024746,6.270102822641173
0.3,CW+SDRE,43,False,182830.27384790557,5.543083849911124e+18,4.29307451531683e+17,96426942491518.95,4969586288977863.0
0.3,NERM+SDRE,44,True,35290.0,0.09798835984089228,11.410859881605106,0.009785891734522325,6.30872085493239
0.3,CW+SDRE,44,False,182830.27384790557,5.998932546514822e+18,4.6460992474030957e+17,104335452063136.19,5374983854624451.0
0.5,NERM+SDRE,42,True,54800.0,0.09987044362363205,8.16089791112622,0.006363512269699907,14.856941532596753
0.5,CW+SDRE,42,False,182830.27384790557,5.642898134591277e+22,4.02706610610136e+21,3.8304385190971576e+18,1.131050010117088e+20
0.5,NERM+SDRE,43,True,55080.0,0.09985661618901018,8.060482518504324,0.006283518619056785,14.853090171220868
0.5,CW+SDRE,43,False,182830.27384790557,5.642917408172563e+22,4.027079893574509e+21,3.8304515625631416e+18,1.1310539135007946e+20
0.5,NERM+SDRE,44,True,55140.0,0.09958149406664198,7.941227077831523,0.0061761090396824396,14.882579654474778
0.5,CW+SDRE,44,False,182830.27384790557,5.64270923564044e+22,4.026931349141029e+21,3.830310223213724e+18,1.1310122050603195e+20
0.7,NERM+SDRE,42,True,90750.0,0.09152417639596268,16.371546893630153,0.02294027695326231,104.48406203921246
0.7,CW+SDRE,42,False,182830.27384790557,1.1824727626885417e+25,9.840478465154916e+23,1.711441380756655e+21,3.95728229921336e+22
0.7,NERM+SDRE,43,True,90260.0,0.09919538564270314,17.930363393783402,0.024153502689080307,111.00873379108882
0.7,CW+SDRE,43,False,182830.27384790557,1.1826685969021147e+25,9.84210831412864e+23,1.7117248318933752e+21,3.957937814701094e+22
0.7,NERM+SDRE,44,True,80760.0,0.09594109531885386,17.285489538182055,0.02610166982226281,110.3079623500316
0.7,CW+SDRE,44,False,182830.27384790557,1.182533800353981e+25,9.840986457586046e+23,1.7115297269555462e+21,3.957486611095859e+22
