time_orbits,dist,err_x,err_y,err_z,err_vx,err_vy,err_vz,P_trace,u_p_norm
0.055789,9.40897123e+02,3.28919297e+00,-8.50172990e+00,-3.39765127e+00,-1.03007382e-02,-8.77183548e-03,-2.88709493e-03,7.42972865e-03,1.79463679e-03
0.057430,9.44493510e+02,3.01375924e+00,-8.68112973e+00,-3.32125226e+00,-1.11580779e-02,-8.19773414e-03,-1.85948171e-03,7.48730699e-03,1.80971234e-03
0.059071,9.48249157e+02,2.76643423e+00,-8.84561956e+00,-3.39370192e+00,-1.18676687e-02,-7.60707639e-03,-2.03116669e-03,7.54608328e-03,1.82183873e-03
0.060712,9.52165716e+02,2.53924762e+00,-8.87971423e+00,-3.45941736e+00,-1.18504315e-02,-6.19628571e-03,-2.00755186e-03,7.60617638e-03,1.83237281e-03
0.062353,9.56242971e+02,2.28770793e+00,-8.98448490e+00,-3.47091431e+00,-1.20954858e-02,-5.43571128e-03,-1.66626524e-03,7.66757518e-03,1.84002434e-03
0.063994,9.60479433e+02,2.03965480e+00,-8.95564611e+00,-3.43101040e+00,-1.21871119e-02,-3.95670337e-03,-1.08645193e-03,7.73024487e-03,1.84582796e-03
0.065635,9.64872249e+02,1.76583148e+00,-9.07006469e+00,-3.37641900e+00,-1.26095757e-02,-3.58830738e-03,-5.28106992e-04,7.79411453e-03,1.84834875e-03
0.067276,9.69417580e+02,1.50706133e+00,-9.08779506e+00,-3.41023339e+00,-1.27405805e-02,-2.65573569e-03,-5.69415132e-04,7.85912893e-03,1.84909119e-03
0.068916,9.74110317e+02,1.26509946e+00,-9.11331507e+00,-3.44349640e+00,-1.25945562e-02,-1.87998446e-03,-5.92205218e-04,7.92523564e-03,1.84716404e-03
0.070557,9.78944074e+02,1.02269480e+00,-9.17070766e+00,-3.52985121e+00,-1.25779175e-02,-1.42431246e-03,-9.38268601e-04,7.99249162e-03,1.84369393e-03
0.072198,9.83911424e+02,7.58615102e-01,-9.20886393e+00,-3.52691871e+00,-1.25212536e-02,-9.33442768e-04,-6.54074262e-04,8.06058704e-03,1.83740654e-03
