time_orbits,dist,err_x,err_y,err_z,err_vx,err_vy,err_vz,P_trace,u_p_norm
0.016409,8.82457635e+02,2.62101279e+00,-2.70126697e+00,-2.18783895e+00,1.37955874e-02,-1.16593925e-02,-5.68509145e-03,8.62139464e+00,1.13044554e-03
0.016956,8.83170663e+02,2.76496435e+00,-2.70007896e+00,-2.18779233e+00,1.35343536e-02,-1.16981215e-02,-5.77257483e-03,8.65412202e+00,1.13359434e-03
0.017503,8.83885020e+02,2.79533693e+00,-2.86483592e+00,-2.27093284e+00,1.33109824e-02,-1.20993026e-02,-5.60788526e-03,8.68938467e+00,1.13756507e-03
0.018050,8.84600273e+02,2.77563515e+00,-3.03714910e+00,-2.34762760e+00,1.28576360e-02,-1.23833358e-02,-5.29767866e-03,8.72602463e+00,1.14159124e-03
0.018596,8.85316049e+02,2.83109096e+00,-3.14070002e+00,-2.39184382e+00,1.25313058e-02,-1.25834259e-02,-5.19158698e-03,8.76404488e+00,1.14595871e-03
0.019143,8.86032013e+02,2.75082332e+00,-3.32781628e+00,-2.46519967e+00,1.18551465e-02,-1.27583237e-02,-4.73026810e-03,8.80409686e+00,1.15103990e-03
0.019690,8.86747879e+02,2.82819895e+00,-3.47292821e+00,-2.52475243e+00,1.17857590e-02,-1.31881103e-02,-4.70217182e-03,8.84544300e+00,1.15617053e-03
0.020237,8.87463400e+02,2.91370637e+00,-3.52572955e+00,-2.53728029e+00,1.14163086e-02,-1.32386483e-02,-4.68374129e-03,8.88886480e+00,1.16219102e-03
0.020784,8.88178348e+02,3.02353937e+00,-3.54066317e+00,-2.53492377e+00,1.10484458e-02,-1.31981754e-02,-4.74190288e-03,8.93483299e+00,1.16873604e-03
0.021331,8.88892533e+02,3.02927172e+00,-3.72620916e+00,-2.60324663e+00,1.07854577e-02,-1.36099316e-02,-4.50903516e-03,8.98346804e+00,1.17579221e-03
0.021878,8.89605809e+02,3.12843887e+00,-3.88778090e+00,-2.66302295e+00,1.08432858e-02,-1.41578917e-02,-4.53259077e-03,9.03365494e+00,1.18287613e-03
0.022425,8.90318061e+02,3.21838397e+00,-3.86230758e+00,-2.63540190e+00,1.02108640e-02,-1.38447729e-02,-4.53275358e-03,9.08588467e+00,1.19063093e-03
0.022972,8.91029205e+02,3.34201593e+00,-3.89755293e+00,-2.64426615e+00,9.98098262e-03,-1.39083661e-02,-4.65908149e-03,9.14093142e+00,1.19885933e-03
0.023519,8.91739189e+02,3.39638778e+00,-3.99700680e+00,-2.67531312e+00,9.65392774e-03,-1.40610245e-02,-4.57981537e-03,9.19854069e+00,1.20750825e-03
0.024066,8.92447991e+02,3.50030714e+00,-3.99598410e+00,-2.67347806e+00,9.23281246e-03,-1.38849296e-02,-4.69280416e-03,9.25819146e+00,1.21628521e-03
0.024613,8.93155628e+02,3.51519154e+00,-4.22123763e+00,-2.73911858e+00,9.14053350e-03,-1.45266133e-02,-4.41368857e-03,9.32043760e+00,1.22559280e-03
0.025160,8.93862140e+02,3.59764941e+00,-4.23390595e+00,-2.73704139e+00,8.65462920e-03,-1.43255165e-02,-4.46052429e-03,9.38406043e+00,1.23482951e-03
0.025707,8.94567603e+02,3.69201024e+00,-4.35942900e+00,-2.77483293e+00,8.58956366e-03,-1.47082227e-02,-4.48716917e-03,9.45030495e+00,1.24469278e-03
0.026254,8.95272110e+02,3.74301055e+00,-4.42641048e+00,-2.79085486e+00,8.14935004e-03,-1.46662108e-02,-4.42844404e-03,9.51873963e+00,1.25479532e-03
0.026801,8.95975786e+02,3.88885665e+00,-4.44641321e+00,-2.80231952e+00,7.97516211e-03,-1.46691416e-02,-4.69251580e-03,9.58950131e+00,1.26508805e-03
0.027348,8.96678774e+02,3.83882769e+00,-4.61286174e+00,-2.83866371e+00,7.44514897e-03,-1.48360387e-02,-4.26095293e-03,9.66307716e+00,1.27590654e-03
0.027895,8.97381251e+02,3.90153906e+00,-4.69281571e+00,-2.85957679e+00,7.12554347e-03,-1.48831166e-02,-4.25746360e-03,9.73822457e+00,1.28633168e-03
0.028442,8.98083422e+02,3.84613516e+00,-4.80258728e+00,-2.87582888e+00,6.43887585e-03,-1.47489595e-02,-3.86636339e-03,9.81583784e+00,1.29732542e-03
0.028989,8.98785514e+02,3.90240765e+00,-4.89660989e+00,-2.89733114e+00,6.16904091e-03,-1.48585791e-02,-3.85431216e-03,9.89540577e+00,1.30817525e-03
0.029536,8.99487776e+02,3.93910540e+00,-4.94256161e+00,-2.90424054e+00,5.68909357e-03,-1.46641843e-02,-3.81488736e-03,9.97753089e+00,1.31949817e-03
0.030083,9.00190470e+02,3.85102510e+00,-5.11514112e+00,-2.92781679e+00,5.12311652e-03,-1.47793579e-02,-3.28707702e-03,1.00623195e+01,1.33095842e-03
