time_orbits,dist,err_x,err_y,err_z,err_vx,err_vy,err_vz,P_trace,u_p_norm
0.055789,9.40914985e+02,3.20859295e+00,-8.55361948e+00,-3.20665924e+00,-1.11595587e-02,-9.30363333e-03,-2.01640287e-03,7.42981384e-03,1.79375643e-03
0.057430,9.44515289e+02,2.99430283e+00,-8.63863757e+00,-3.29087147e+00,-1.14294464e-02,-8.03002104e-03,-2.17638249e-03,7.48735766e-03,1.80899742e-03
0.059071,9.48275354e+02,2.75278340e+00,-8.82059635e+00,-3.32694011e+00,-1.18864515e-02,-7.52736633e-03,-2.00771552e-03,7.54632728e-03,1.82166334e-03
0.060712,9.52196489e+02,2.50789778e+00,-8.88556235e+00,-3.32485990e+00,-1.21646729e-02,-6.30425179e-03,-1.63095180e-03,7.60653888e-03,1.83186396e-03
0.062353,9.56278565e+02,2.27881203e+00,-8.94434339e+00,-3.42336090e+00,-1.22821592e-02,-5.27899486e-03,-1.95610067e-03,7.66804129e-03,1.84013516e-03
0.063994,9.60520106e+02,2.01080193e+00,-8.96120210e+00,-3.40982257e+00,-1.25887698e-02,-4.14308326e-03,-1.48660424e-03,7.73079756e-03,1.84592598e-03
0.065635,9.64918382e+02,1.76018111e+00,-9.07121257e+00,-3.40218551e+00,-1.26938001e-02,-3.73713173e-03,-1.12645529e-03,7.79468643e-03,1.84870455e-03
0.067276,9.69469385e+02,1.50978297e+00,-9.16712027e+00,-3.40262781e+00,-1.27630230e-02,-3.26505513e-03,-8.60789600e-04,7.85983467e-03,1.84925456e-03
0.068916,9.74167860e+02,1.25161888e+00,-9.19100709e+00,-3.46132118e+00,-1.28809922e-02,-2.36695941e-03,-1.05712006e-03,7.92609597e-03,1.84747744e-03
0.070557,9.79007505e+02,9.93793173e-01,-9.22377514e+00,-3.51853173e+00,-1.29506854e-02,-1.64443818e-03,-1.14628263e-03,7.99334585e-03,1.84364765e-03
0.072198,9.83980942e+02,7.55718927e-01,-9.24339071e+00,-3.52820271e+00,-1.27672509e-02,-1.01542722e-03,-9.31522516e-04,8.06153413e-03,1.83771212e-03
0.073839,9.89079680e+02,5.33081268e-01,-9.13086433e+00,-3.59860014e+00,-1.24862980e-02,4.19905546e-04,-1.14633602e-03,8.13065283e-03,1.82950216e-03
0.075480,9.94294363e+02,2.83460587e-01,-9.08095592e+00,-3.55455413e+00,-1.23894367e-02,1.18857694e-03,-5.90089180e-04,8.20049195e-03,1.81945546e-03
0.077121,9.99614947e+02,7.82463978e-02,-8.98179567e+00,-3.60266898e+00,-1.19339916e-02,2.09687825e-03,-7.27574330e-04,8.27091335e-03,1.80769096e-03
0.078762,1.00503061e+03,-1.93774283e-01,-9.00123500e+00,-3.64303294e+00,-1.20798126e-02,2.20804502e-03,-7.70360688e-04,8.34199395e-03,1.79310209e-03
0.080402,1.01053012e+03,-4.11632773e-01,-8.87427497e+00,-3.60625386e+00,-1.17509826e-02,3.15808767e-03,-3.32966902e-04,8.41353662e-03,1.77770996e-03
0.082043,1.01610158e+03,-6.66095063e-01,-8.82922209e+00,-3.52481411e+00,-1.16899199e-02,3.49914147e-03,2.98195788e-04,8.48526373e-03,1.75930119e-03
0.083684,1.02173292e+03,-8.92455068e-01,-8.75309532e+00,-3.43185676e+00,-1.13896578e-02,3.96359457e-03,9.01336988e-04,8.55722018e-03,1.74011870e-03
0.085325,1.02741143e+03,-1.07999829e+00,-8.60201557e+00,-3.43851155e+00,-1.09232864e-02,4.81671890e-03,8.33819325e-04,8.62953003e-03,1.72039513e-03
0.086966,1.03312406e+03,-1.30165129e+00,-8.49025333e+00,-3.40599967e+00,-1.07267455e-02,5.32365122e-03,1.02115870e-03,8.70155237e-03,1.69783691e-03
0.088607,1.03885796e+03,-1.48277935e+00,-8.33014625e+00,-3.40894640e+00,-1.02515259e-02,5.97961717e-03,9.19224196e-04,8.77336367e-03,1.67496901e-03
0.090248,1.04459995e+03,-1.68382594e+00,-8.23485605e+00,-3.33769671e+00,-9.93602980e-03,6.10854271e-03,1.31304966e-03,8.84487977e-03,1.65043896e-03
0.091889,1.05033685e+03,-1.87903631e+00,-8.11508616e+00,-3.26717864e+00,-9.62066249e-03,6.40827542e-03,1.65596216e-03,8.91601973e-03,1.62453860e-03
0.093529,1.05605551e+03,-2.08969704e+00,-8.01828995e+00,-3.30059174e+00,-9.46657995e-03,6.55897365e-03,1.24534332e-03,8.98658468e-03,1.59746001e-03
0.095170,1.06174292e+03,-2.26213990e+00,-7.85865237e+00,-3.26401729e+00,-9.04968189e-03,7.03748371e-03,1.35769766e-03,9.05639763e-03,1.56995759e-03
0.096811,1.06738581e+03,-2.43635988e+00,-7.72412526e+00,-3.23887417e+00,-8.79751353e-03,7.21319676e-03,1.37290808e-03,9.12545700e-03,1.55063061e-03
0.098452,1.07297024e+03,-2.58393209e+00,-7.53796402e+00,-3.20701482e+00,-8.24691262e-03,7.79653608e-03,1.47802055e-03,9.19359704e-03,1.51325764e-03
0.100093,1.07848486e+03,-2.75809107e+00,-7.42254256e+00,-3.13939589e+00,-7.95668403e-03,7.78540918e-03,1.74608381e-03,9.26045103e-03,1.48316916e-03
0.101734,1.08391729e+03,-2.95570072e+00,-7.31695834e+00,-3.15595201e+00,-7.91162526e-03,7.73469514e-03,1.46463256e-03,9.32614603e-03,1.45257024e-03
0.103375,1.08925545e+03,-3.08171696e+00,-7.08018231e+00,-3.12543765e+00,-7.42617654e-03,8.48514944e-03,1.49720122e-03,9.39041510e-03,1.42235348e-03
0.105015,1.09448746e+03,-3.19438144e+00,-6.89288195e+00,-3.11629955e+00,-6.85719433e-03,8.75613845e-03,1.41542148e-03,9.45317956e-03,1.39142101e-03
0.106656,1.09960163e+03,-3.30966809e+00,-6.71015702e+00,-3.13339002e+00,-6.38187247e-03,8.94109393e-03,1.19466029e-03,9.51435689e-03,1.36007149e-03
0.108297,1.10458656e+03,-3.34155676e+00,-6.42369891e+00,-3.08694239e+00,-5.46446933e-03,9.70496170e-03,1.41275673e-03,9.57391571e-03,1.32882899e-03
0.109938,1.10943115e+03,-3.45443193e+00,-6.23603842e+00,-2.98466758e+00,-5.22586679e-03,9.74274383e-03,1.87712067e-03,9.63157297e-03,1.29711657e-03
0.111579,1.11412483e+03,-3.59314497e+00,-6.12122383e+00,-2.93540324e+00,-5.09659747e-03,9.29633970e-03,1.95012512e-03,9.68713082e-03,1.26425167e-03
0.113220,1.11865748e+03,-3.71607425e+00,-5.91884379e+00,-2.86854758e+00,-4.98072804e-03,9.56666218e-03,2.13603602e-03,9.74077486e-03,1.23168012e-03
0.114861,1.12301938e+03,-3.81373014e+00,-5.73497614e+00,-2.85780615e+00,-4.64842748e-03,9.59838210e-03,1.94474369e-03,9.79201977e-03,1.19915952e-03
0.116501,1.12720106e+03,-3.88439372e+00,-5.54191104e+00,-2.76692073e+00,-4.21233099e-03,9.64665685e-03,2.25134319e-03,9.84112903e-03,1.16697222e-03
0.118142,1.13119325e+03,-3.88055581e+00,-5.25122838e+00,-2.79285228e+00,-3.43482164e-03,1.02842999e-02,1.86036468e-03,9.88792111e-03,1.13561752e-03
0.119783,1.13498711e+03,-3.96335677e+00,-5.09982953e+00,-2.68105418e+00,-3.22932414e-03,9.88950897e-03,2.31905776e-03,9.93193910e-03,1.10288356e-03
0.121424,1.13857435e+03,-4.02261057e+00,-4.90915338e+00,-2.54302713e+00,-2.90838920e-03,9.88602635e-03,2.86647792e-03,9.97358436e-03,1.06979115e-03
0.123065,1.14194702e+03,-4.12951104e+00,-4.72592390e+00,-2.50435777e+00,-3.00285955e-03,9.88762732e-03,2.72590718e-03,1.00125638e-02,1.03791741e-03
0.124706,1.14509756e+03,-4.12914074e+00,-4.46935604e+00,-2.49352423e+00,-2.41294948e-03,1.02476231e-02,2.41089328e-03,1.00486441e-02,1.00670414e-03
0.126347,1.14801872e+03,-4.15364861e+00,-4.27025783e+00,-2.49001389e+00,-2.00437683e-03,1.01413567e-02,2.14626544e-03,1.00817765e-02,9.75167579e-04
0.127988,1.15070363e+03,-4.14636642e+00,-4.01763417e+00,-2.43744110e+00,-1.48586971e-03,1.04263341e-02,2.24042143e-03,1.01120134e-02,9.43736012e-04
0.129628,1.15314580e+03,-4.19686637e+00,-3.83931068e+00,-2.39280418e+00,-1.39845993e-03,1.01484658e-02,2.27288413e-03,1.01392014e-02,9.12760179e-04
0.131269,1.15533911e+03,-4.29876229e+00,-3.69596116e+00,-2.32201516e+00,-1.63129171e-03,9.79032433e-03,2.42806135e-03,1.01634844e-02,8.80954513e-04
0.132910,1.15727786e+03,-4.33311208e+00,-3.47669908e+00,-2.37878887e+00,-1.40097953e-03,9.99699876e-03,1.81531226e-03,1.01846500e-02,8.50284889e-04
0.134551,1.15895668e+03,-4.39506494e+00,-3.31666032e+00,-2.29927511e+00,-1.37810365e-03,9.75373766e-03,2.10297348e-03,1.02024838e-02,8.19956412e-04
0.136192,1.16037054e+03,-4.45761395e+00,-3.15965418e+00,-2.24302724e+00,-1.35803938e-03,9.49703001e-03,2.15439659e-03,1.02170393e-02,7.90036054e-04
0.137833,1.16151473e+03,-4.36061638e+00,-2.90218478e+00,-2.13161925e+00,-3.45792447e-04,9.87181591e-03,2.54884560e-03,1.02283414e-02,7.60984477e-04
0.139474,1.16238478e+03,-4.40181121e+00,-2.71345191e+00,-2.08897366e+00,-3.72087553e-04,9.83461974e-03,2.44166508e-03,1.02363186e-02,7.32338202e-04
0.141114,1.16297661e+03,-4.35955094e+00,-2.51631287e+00,-1.97351295e+00,1.17117880e-04,9.74088146e-03,2.78247002e-03,1.02408179e-02,7.04254295e-04
0.142755,1.16328644e+03,-4.30039310e+00,-2.31355046e+00,-1.93075915e+00,6.54017814e-04,9.64316808e-03,2.66594968e-03,1.02418783e-02,6.76505740e-04
0.144396,1.16331080e+03,-4.31514841e+00,-2.11843049e+00,-1.93174508e+00,6.53085888e-04,9.62340528e-03,2.31612993e-03,1.02394857e-02,6.48512305e-04
0.146037,1.16304668e+03,-4.40781102e+00,-1.96360813e+00,-1.92477862e+00,1.58526215e-04,9.39097080e-03,2.07152519e-03,1.02334779e-02,6.21068542e-04
0.147678,1.16249143e+03,-4.41247530e+00,-1.76582030e+00,-1.91040878e+00,2.79530525e-04,9.44831945e-03,1.88563983e-03,1.02239480e-02,5.94199285e-04
0.149319,1.16164265e+03,-4.42658687e+00,-1.61069969e+00,-1.87840097e+00,3.59974860e-04,9.14131737e-03,1.85377462e-03,1.02107356e-02,5.68147473e-04
0.150960,1.16049821e+03,-4.41711701e+00,-1.40881207e+00,-1.90830696e+00,5.57213957e-04,9.23239503e-03,1.46119771e-03,1.01940809e-02,5.42584073e-04
0.152601,1.15905626e+03,-4.33655928e+00,-1.19294541e+00,-1.83171171e+00,1.13680093e-03,9.36497947e-03,1.78450457e-03,1.01737719e-02,5.18011934e-04
0.154241,1.15731524e+03,-4.39164967e+00,-1.07272999e+00,-1.72593232e+00,8.03024975e-04,8.88106421e-03,2.21308192e-03,1.01499022e-02,4.93234673e-04
0.155882,1.15527395e+03,-4.39385510e+00,-8.90646725e-01,-1.60555681e+00,8.21797179e-04,8.93252752e-03,2.69381266e-03,1.01224150e-02,4.69035879e-04
0.157523,1.15293154e+03,-4.32061166e+00,-7.30029562e-01,-1.55171412e+00,1.34638859e-03,8.64927411e-03,2.63797174e-03,1.00912506e-02,4.45765314e-04
0.159164,1.15028733e+03,-4.22808661e+00,-5.07197987e-01,-1.49924249e+00,1.87250972e-03,8.89692044e-03,2.62160954e-03,1.00564956e-02,4.23204452e-04
0.160805,1.14734098e+03,-4.22673588e+00,-3.10125280e-01,-1.55606811e+00,1.73258861e-03,8.97908138e-03,1.98108820e-03,1.00181785e-02,4.01497779e-04
0.162446,1.14409246e+03,-4.17547490e+00,-1.45118769e-01,-1.46788490e+00,1.92877522e-03,8.77280296e-03,2.30707384e-03,9.97609844e-03,3.79889186e-04
0.164087,1.14054204e+03,-4.14554587e+00,2.84481040e-02,-1.43347198e+00,1.99803931e-03,8.69280813e-03,2.22898168e-03,9.93054349e-03,3.58469094e-04
0.165727,1.13669030e+03,-4.15782095e+00,1.50407136e-01,-1.43798806e+00,1.79912580e-03,8.19664942e-03,1.94030891e-03,9.88143915e-03,3.38241759e-04
0.167368,1.13253802e+03,-4.10427053e+00,3.41893978e-01,-1.36091272e+00,1.98441476e-03,8.36086850e-03,2.19648594e-03,9.82893766e-03,3.18358145e-04
0.169009,1.12808637e+03,-4.10880084e+00,4.47244235e-01,-1.30700998e+00,1.83489891e-03,7.80722989e-03,2.26642649e-03,9.77280747e-03,2.99038642e-04
0.170650,1.12333673e+03,-4.19523794e+00,5.65975401e-01,-1.21694299e+00,1.15846495e-03,7.58473051e-03,2.55339628e-03,9.71340427e-03,2.79968559e-04
0.172291,1.11829085e+03,-4.17668508e+00,7.28068100e-01,-1.20697421e+00,1.26331679e-03,7.59648093e-03,2.29195772e-03,9.65037416e-03,2.62099693e-04
