seed,q_scale,steps,status,error,sdc_rmse_pos_m,jac_rmse_pos_m,sdc_rmse_vel_m_s,jac_rmse_vel_m_s,state_pos_diff_m,state_vel_diff_m_s,P_rel_fro,nis_mean_abs_diff,sdc_min_P_eig,jac_min_P_eig
0,0.0,100,ok,,9.789240061693922,9.79329423108275,0.01524859146201469,0.015255303074359843,0.018719939829192025,1.9414480014983766e-05,0.00018949215999816376,0.0020855009526221657,5.512415519160774e-15,5.5408074981523e-15
0,0.0,500,ok,,46.61085235858187,47.40247770889572,0.019741823807539857,0.020583693127944287,11.447468798843586,0.00788005024371482,0.002577063870381252,3.7142840391297725,1.2457330661805855e-16,1.0840674643816527e-16
0,0.01,100,ok,,7.691447708120164,7.691761438771894,0.02136372325200991,0.02136419403131014,0.0005778165295837059,6.560653777831557e-07,2.487225101530439e-06,6.295200305483917e-08,5.259213507834348e-09,5.259209097247816e-09
0,0.01,500,ok,,504.71176057996445,504.7774226786975,0.2774637895157086,0.2775006020959606,0.7408663135731514,0.0004381522329393497,0.00032899210014839165,1.1916616582396955e-09,5.35589282155192e-09,5.35591190036736e-09
0,0.1,100,ok,,16.710194766495157,16.710290967350588,0.033291635220907376,0.033291788756753656,0.00015111419402899826,1.217599594251827e-07,2.3780564153114037e-06,6.420263459760989e-08,5.25646798463277e-08,5.256467131712284e-08
0,0.1,500,ok,,4130.311050368646,4130.496991125365,2.1875659960709926,2.1876200783722997,2.247871018939433,0.001219763890736322,0.00034499604478567666,1.1063110756381889e-06,5.275779731007041e-08,5.275798467092182e-08
0,1.0,100,ok,,25.67608068375511,25.676064549658662,0.04429235176774481,0.04429233116270475,5.049100843946583e-05,1.2322015496429546e-07,2.3670018743092706e-06,1.7024121140574167e-09,5.255027715196993e-07,5.255027603700894e-07
0,1.0,500,ok,,10170.28429114209,10170.537695099923,5.485287380375793,5.485263793480507,4.147748887711828,0.002199358902969135,0.00030937852088972807,1.2491935399983056e-06,5.260105256071356e-07,5.260110331642407e-07
1,0.0,100,ok,,90.03418517656961,90.8827617506233,0.06458441182050983,0.06655692316324713,3.759521562393241,0.01058888517250407,0.0051485614577860385,4.704638307985348,1.9149405085031382e-13,1.996428692516923e-13
1,0.0,500,ok,,728.7382295876479,400.57650662403785,0.464148824774604,0.33189653287171367,1166.6408471654063,0.3819723796551742,0.026671066716830748,16.24606266438738,3.3276074716188504e-15,5.532116326980865e-16
1,0.01,100,ok,,38.00345734396206,37.95898037909237,0.11565346888447484,0.11567543328247944,0.16077534324279955,0.00034738665837188347,0.0007572932006743273,2.7329792686270338e-05,5.341204098200402e-09,5.342303865249743e-09
1,0.01,500,ok,,496.8469375001206,490.0082174608407,0.19270827250792452,0.19028518341297712,13.633012048546544,0.003564779382514469,0.009641003320834082,1.1806792723056958e-05,6.7476512395777285e-09,6.741843471559537e-09
1,0.1,100,ok,,30.725312598840073,30.71139563174456,0.12961959245132423,0.12964505365411985,0.06628732525779367,0.000131952977521291,0.0007791009683463233,2.0868569384768776e-06,5.268583288545903e-08,5.2687297264362086e-08
1,0.1,500,ok,,1358.679991285444,1360.7545621255892,0.4720087635045478,0.47191400000130856,2.1792414200146237,0.0018577324339630725,0.009630167860358791,4.3332887285085775e-06,5.627906142916662e-08,5.628307286039429e-08
1,1.0,100,ok,,27.173370843005387,27.17688926789836,0.14625032680846156,0.1462895649389714,0.058977420670105855,0.00012353070402722164,0.000781668832751202,4.662372796171432e-08,5.258869895059875e-07,5.258886001080215e-07
1,1.0,500,ok,,18507.622696373364,18467.896275296192,5.987639215358072,5.962588430481152,152.8530063043902,0.07559570348255505,0.009845636461206645,3.3482047394173264e-05,5.332331342019969e-07,5.332401190466201e-07
2,0.0,100,ok,,35.585774543512876,34.08268467206194,0.16620177884593054,0.16722336097701357,1.8804034884643668,0.0021716498478265424,0.017901594897040397,1.140619517132432,2.6182993141300377e-13,2.2076110803699153e-13
